"sector_id","date","level_detail_numeric","altitude","aspect","aspectActive"
1246,2023-04-12,2.67,2600,0,1
2211,2023-04-12,2.67,2600,0,1
1245,2023-04-12,2.67,2600,0,1
3113,2023-04-12,2.67,2600,0,1
2134,2023-04-12,2.67,2600,0,1
2222,2023-04-12,2.67,2600,0,1
1247,2023-04-12,2.67,2600,0,1
3112,2023-04-12,2.67,2600,0,1
4213,2023-04-12,2.67,2600,0,1
2221,2023-04-12,2.67,2600,0,1
1243,2023-04-12,2.67,2600,0,1
4122,2023-01-13,3,2200,0,1
7222,2023-02-03,2.33,2200,0,1
2122,2022-12-10,2.33,1800,0,1
7231,2023-02-03,2.33,2200,0,1
4124,2022-12-26,3,2400,0,1
7231,2023-02-11,2.33,2200,0,1
4214,2023-01-10,3.67,2200,0,1
1113,2022-12-12,2.67,2000,0,1
4213,2023-01-10,3.67,2200,0,1
4212,2023-01-10,3,2000,0,1
1222,2022-12-15,2.33,2000,0,1
4122,2022-12-27,3,2400,0,1
4125,2022-12-26,3,2400,0,1
1311,2023-01-24,2.33,1800,0,1
1211,2022-12-12,2.33,1800,0,1
1244,2023-01-24,2,2000,0,1
7111,2023-02-09,2.33,2200,0,1
4124,2022-12-25,3,2200,0,1
1112,2022-12-12,2.67,2000,0,1
4215,2023-01-10,3.67,2200,0,1
4123,2022-12-26,3,2400,0,1
4124,2023-01-10,3,2000,0,1
5211,2022-12-12,2.67,2200,0,1
2123,2023-02-09,2.33,1800,0,1
7126,2023-02-03,2.33,2200,0,1
5214,2023-04-04,2.33,2200,0,1
2123,2022-12-10,2.33,1800,0,1
5234,2023-01-27,2.33,2200,0,1
4115,2023-01-16,2.67,2200,0,1
4116,2022-12-26,3,2400,0,1
1228,2022-12-16,2,2000,0,1
4125,2023-01-10,3,2000,0,1
1114,2022-12-12,2.67,2000,0,1
5221,2023-01-16,2.67,2200,0,1
4125,2023-01-21,2.67,2200,0,1
5234,2023-01-16,2.67,2200,0,1
4122,2022-12-26,3,2400,0,1
4215,2023-02-04,2,2000,0,1
4212,2022-12-26,3,2400,0,1
4124,2023-01-17,2.67,2200,0,1
4122,2023-01-17,2.67,2200,0,1
4211,2023-01-10,3.67,2200,0,1
4221,2023-01-10,3,2000,0,1
4121,2022-12-26,2.67,2400,0,1
4113,2023-01-10,3.67,2200,0,1
5212,2023-04-04,2.33,2200,0,1
1121,2022-12-15,2.33,2000,0,1
1244,2022-12-23,3.33,2200,0,1
4112,2023-01-16,3,2000,0,1
1231,2022-12-30,2,2000,0,1
1228,2023-05-15,2,2600,0,1
7113,2023-01-26,2.33,2200,0,1
1247,2023-04-02,3.33,2200,0,1
4214,2023-02-04,2,2000,0,1
1246,2022-12-23,3.33,2200,0,1
4244,2022-12-23,3,2200,0,1
2124,2022-12-10,2.33,1800,0,1
1312,2023-01-24,2,2000,0,1
4122,2023-01-10,3.67,2200,0,1
4123,2023-04-02,3.33,2200,0,1
4115,2023-01-10,3.67,2200,0,1
5231,2022-12-25,3,2200,0,1
5233,2023-01-24,2.33,2000,0,1
4211,2023-04-02,3.33,2200,0,1
4214,2023-01-25,2,2000,0,1
5212,2023-02-09,2.33,2200,0,1
2111,2022-12-14,2.33,1800,0,1
1311,2023-04-02,3,2000,0,1
