station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
DAV,01.01.1867 00:00,-7.7,,,,,,,,812.1,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,
DAV,02.01.1867 00:00,-11.3,,,,,,,,813,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
DAV,03.01.1867 00:00,-14.7,,,,,,,,819,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,
DAV,04.01.1867 00:00,-20.8,,,,,,,,824.3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,05.01.1867 00:00,-17.9,,,,,,,,830.3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,06.01.1867 00:00,-5.8,,,,,,,,828.8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,07.01.1867 00:00,-3.9,,,,,,,,830,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,
DAV,08.01.1867 00:00,0.4,,,,,,,,824.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,09.01.1867 00:00,-1.7,,,,,,,,818.4,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,
DAV,10.01.1867 00:00,-0.9,,,,,,,,818.1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,11.01.1867 00:00,-2.4,,,,,,,,816,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,
DAV,12.01.1867 00:00,-10.2,,,,,,,,817,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
DAV,13.01.1867 00:00,-8.2,,,,,,,,814.5,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,
DAV,14.01.1867 00:00,-8.1,,,,,,,,815.5,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,
DAV,15.01.1867 00:00,-6,,,,,,,,811.4,,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,
DAV,16.01.1867 00:00,-13.8,,,,,,,,810.1,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,
DAV,17.01.1867 00:00,-16.1,,,,,,,,811.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,18.01.1867 00:00,-11.4,,,,,,,,815.7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,19.01.1867 00:00,-15.6,,,,,,,,821.7,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,
DAV,20.01.1867 00:00,-6.3,,,,,,,,821,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,21.01.1867 00:00,-2.4,,,,,,,,819.9,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,
DAV,22.01.1867 00:00,-2.4,,,,,,,,830.1,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,
DAV,23.01.1867 00:00,-2.2,,,,,,,,836,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,
DAV,24.01.1867 00:00,-0.7,,,,,,,,833.2,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,
DAV,25.01.1867 00:00,1.6,,,,,,,,826.1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,26.01.1867 00:00,-3.6,,,,,,,,832.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
DAV,27.01.1867 00:00,-1.9,,,,,,,,837,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,
DAV,28.01.1867 00:00,0.1,,,,,,,,838.5,,,,,,,,,,,,26.5,,,,,,,,,,,,,,,,,,
DAV,29.01.1867 00:00,-0.8,,,,,,,,836.2,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,
DAV,30.01.1867 00:00,-4.5,,,,,,,,837.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,31.01.1867 00:00,-3.1,,,,,,,,833.8,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,
DAV,01.02.1867 00:00,-10.4,,,,,,,,840.3,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,
DAV,02.02.1867 00:00,-1.4,,,,,,,,843.7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,03.02.1867 00:00,-7.7,,,,,,,,843.8,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,
DAV,04.02.1867 00:00,-4,,,,,,,,837,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,05.02.1867 00:00,-5.8,,,,,,,,826.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,06.02.1867 00:00,-0.4,,,,,,,,820.5,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,
DAV,07.02.1867 00:00,-5.8,,,,,,,,821.6,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,
DAV,08.02.1867 00:00,-2.7,,,,,,,,831.5,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
DAV,09.02.1867 00:00,2.1,,,,,,,,834.5,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
DAV,10.02.1867 00:00,0.8,,,,,,,,840.6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
DAV,11.02.1867 00:00,-2,,,,,,,,838.8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,12.02.1867 00:00,-4,,,,,,,,841.5,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,
DAV,13.02.1867 00:00,-0.8,,,,,,,,840.3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,14.02.1867 00:00,-4.3,,,,,,,,845.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,15.02.1867 00:00,1.2,,,,,,,,842.7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,16.02.1867 00:00,-0.1,,,,,,,,841.2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,17.02.1867 00:00,1.9,,,,,,,,838.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,18.02.1867 00:00,1.3,,,,,,,,840.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,19.02.1867 00:00,1,,,,,,,,843.7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,20.02.1867 00:00,0.4,,,,,,,,844.6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,21.02.1867 00:00,-1.9,,,,,,,,845.9,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
DAV,22.02.1867 00:00,-3.1,,,,,,,,845.2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,23.02.1867 00:00,-2.3,,,,,,,,842.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,24.02.1867 00:00,-2.8,,,,,,,,842.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,25.02.1867 00:00,-3.3,,,,,,,,838.1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,26.02.1867 00:00,-0.9,,,,,,,,831.6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,27.02.1867 00:00,-2.9,,,,,,,,828.6,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,
DAV,28.02.1867 00:00,-10.5,,,,,,,,829.2,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,
DAV,01.03.1867 00:00,-12.4,,,,,,,,830.8,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
DAV,02.03.1867 00:00,-17.1,,,,,,,,834.1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,03.03.1867 00:00,-10.6,,,,,,,,835.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,04.03.1867 00:00,-8.1,,,,,,,,832.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,05.03.1867 00:00,-7.4,,,,,,,,823.6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,06.03.1867 00:00,-12.3,,,,,,,,813.2,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,
DAV,07.03.1867 00:00,-3.5,,,,,,,,815,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,08.03.1867 00:00,1.9,,,,,,,,818.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,09.03.1867 00:00,-0.1,,,,,,,,822,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,
DAV,10.03.1867 00:00,1.3,,,,,,,,821.5,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,
DAV,11.03.1867 00:00,1.3,,,,,,,,822,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
DAV,12.03.1867 00:00,1,,,,,,,,823.8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,13.03.1867 00:00,0.1,,,,,,,,824.4,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,
DAV,14.03.1867 00:00,-0.4,,,,,,,,822.2,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,
DAV,15.03.1867 00:00,-0.1,,,,,,,,821.6,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,
DAV,16.03.1867 00:00,-0.3,,,,,,,,821.8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,17.03.1867 00:00,-1.2,,,,,,,,822.9,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,
DAV,18.03.1867 00:00,3.1,,,,,,,,820.7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,19.03.1867 00:00,3.3,,,,,,,,818.9,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,
DAV,20.03.1867 00:00,0.8,,,,,,,,817.1,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,
DAV,21.03.1867 00:00,0.1,,,,,,,,821.7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,22.03.1867 00:00,0.1,,,,,,,,826.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,23.03.1867 00:00,-1.1,,,,,,,,832.2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,24.03.1867 00:00,0,,,,,,,,831.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,25.03.1867 00:00,1.6,,,,,,,,831.8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,26.03.1867 00:00,4,,,,,,,,828.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,27.03.1867 00:00,4.7,,,,,,,,820.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,28.03.1867 00:00,-0.5,,,,,,,,816.5,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,
DAV,29.03.1867 00:00,-1,,,,,,,,818.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,30.03.1867 00:00,-1.6,,,,,,,,824.1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,31.03.1867 00:00,-4.9,,,,,,,,827.2,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
DAV,01.04.1867 00:00,-5.9,,,,,,,,832.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
DAV,02.04.1867 00:00,-2.9,,,,,,,,836.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,03.04.1867 00:00,0,,,,,,,,827.5,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,
DAV,04.04.1867 00:00,0.6,,,,,,,,832.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
DAV,05.04.1867 00:00,-0.1,,,,,,,,829.7,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,
DAV,06.04.1867 00:00,-0.3,,,,,,,,830.8,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,
DAV,07.04.1867 00:00,2.2,,,,,,,,832.3,,,,,,,,,,,,23.2,,,,,,,,,,,,,,,,,,
DAV,08.04.1867 00:00,1,,,,,,,,826.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,
DAV,09.04.1867 00:00,-1.2,,,,,,,,823.6,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,
DAV,10.04.1867 00:00,-3.6,,,,,,,,830.2,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,
DAV,11.04.1867 00:00,-0.3,,,,,,,,828.8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,12.04.1867 00:00,-3.2,,,,,,,,834.1,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,
DAV,13.04.1867 00:00,-0.4,,,,,,,,837.1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,14.04.1867 00:00,3.8,,,,,,,,834.8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,15.04.1867 00:00,1.4,,,,,,,,825.7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,16.04.1867 00:00,-1.1,,,,,,,,826.7,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,
DAV,17.04.1867 00:00,3,,,,,,,,827.9,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,
DAV,18.04.1867 00:00,3.7,,,,,,,,831.8,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,
DAV,19.04.1867 00:00,5,,,,,,,,833.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,20.04.1867 00:00,6.7,,,,,,,,829.1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,21.04.1867 00:00,1.4,,,,,,,,824.7,,,,,,,,,,,,17.2,,,,,,,,,,,,,,,,,,
DAV,22.04.1867 00:00,0.1,,,,,,,,827.8,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,23.04.1867 00:00,2.9,,,,,,,,833.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,24.04.1867 00:00,4.5,,,,,,,,833.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,25.04.1867 00:00,4.9,,,,,,,,831.2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,26.04.1867 00:00,3.1,,,,,,,,828.9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,27.04.1867 00:00,5.9,,,,,,,,829.2,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,
DAV,28.04.1867 00:00,7,,,,,,,,825.2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,29.04.1867 00:00,1.6,,,,,,,,827.5,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,
DAV,30.04.1867 00:00,2.3,,,,,,,,830.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,
DAV,01.05.1867 00:00,-1.1,,,,,,,,831.2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
DAV,02.05.1867 00:00,-0.2,,,,,,,,830.6,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,
DAV,03.05.1867 00:00,1.1,,,,,,,,832.8,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,
DAV,04.05.1867 00:00,0.9,,,,,,,,834.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
DAV,05.05.1867 00:00,3.3,,,,,,,,835.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
