station_abbr,reference_timestamp,temp_A5,Humid2j,pressHPA,vit_vent,vitvkmh,precipi_j,Ray_j,ensol_dur,level_detail_numeric,altitude,aspect,aspectActive
MTE,07.12.2022 00:00,-5.7,66.2,835.7,2,7.2,0,50,184,1.67,2600,0,1
MTE,07.12.2022 00:00,-5.7,66.2,835.7,2,7.2,0,50,184,1.67,2600,45,1
MTE,07.12.2022 00:00,-5.7,66.2,835.7,2,7.2,0,50,184,1.67,2600,90,1
MTE,07.12.2022 00:00,-5.7,66.2,835.7,2,7.2,0,50,184,1.67,2600,135,0
MTE,07.12.2022 00:00,-5.7,66.2,835.7,2,7.2,0,50,184,1.67,2600,180,0
MTE,07.12.2022 00:00,-5.7,66.2,835.7,2,7.2,0,50,184,1.67,2600,225,0
MTE,07.12.2022 00:00,-5.7,66.2,835.7,2,7.2,0,50,184,1.67,2600,270,0
MTE,07.12.2022 00:00,-5.7,66.2,835.7,2,7.2,0,50,184,1.67,2600,315,1
MTE,08.12.2022 00:00,-4.3,52,830.8,2.4,8.6,0,51,183,2,2400,0,1
MTE,08.12.2022 00:00,-4.3,52,830.8,2.4,8.6,0,51,183,2,2400,45,1
MTE,08.12.2022 00:00,-4.3,52,830.8,2.4,8.6,0,51,183,2,2400,90,1
MTE,08.12.2022 00:00,-4.3,52,830.8,2.4,8.6,0,51,183,2,2400,135,0
MTE,08.12.2022 00:00,-4.3,52,830.8,2.4,8.6,0,51,183,2,2400,180,0
MTE,08.12.2022 00:00,-4.3,52,830.8,2.4,8.6,0,51,183,2,2400,225,0
MTE,08.12.2022 00:00,-4.3,52,830.8,2.4,8.6,0,51,183,2,2400,270,0
MTE,08.12.2022 00:00,-4.3,52,830.8,2.4,8.6,0,51,183,2,2400,315,1
MTE,09.12.2022 00:00,-1.7,86.6,825.3,1.1,4,6.6,22,0,2,2200,0,1
MTE,09.12.2022 00:00,-1.7,86.6,825.3,1.1,4,6.6,22,0,2,2200,45,1
MTE,09.12.2022 00:00,-1.7,86.6,825.3,1.1,4,6.6,22,0,2,2200,90,1
MTE,09.12.2022 00:00,-1.7,86.6,825.3,1.1,4,6.6,22,0,2,2200,135,0
MTE,09.12.2022 00:00,-1.7,86.6,825.3,1.1,4,6.6,22,0,2,2200,180,0
MTE,09.12.2022 00:00,-1.7,86.6,825.3,1.1,4,6.6,22,0,2,2200,225,0
MTE,09.12.2022 00:00,-1.7,86.6,825.3,1.1,4,6.6,22,0,2,2200,270,0
MTE,09.12.2022 00:00,-1.7,86.6,825.3,1.1,4,6.6,22,0,2,2200,315,1
MTE,10.12.2022 00:00,-3.2,97.3,826.3,1.6,5.8,0.6,24,0,2,2200,0,1
MTE,10.12.2022 00:00,-3.2,97.3,826.3,1.6,5.8,0.6,24,0,2,2200,45,1
MTE,10.12.2022 00:00,-3.2,97.3,826.3,1.6,5.8,0.6,24,0,2,2200,90,1
MTE,10.12.2022 00:00,-3.2,97.3,826.3,1.6,5.8,0.6,24,0,2,2200,135,0
MTE,10.12.2022 00:00,-3.2,97.3,826.3,1.6,5.8,0.6,24,0,2,2200,180,0
