station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
JUN,01.01.1933 00:00,-10.9,,,,,,71.3,1.9,656.1,,,,,6.7,,24.1,,,,,,,,,,,,,,,,,,,,,,,
JUN,02.01.1933 00:00,-9.6,,,,,,32,1,658.3,,,,,3.5,,12.6,,,,,,,,,,,,,,,,,,,,,,,
JUN,03.01.1933 00:00,-9,,,,,,78.7,2.4,659.4,,,,,5.3,,19.1,,,,,,,,,,,,,,,,,,,,,,,
JUN,04.01.1933 00:00,-10.6,,,,,,99.7,2.8,657.7,,,,,8.3,,29.9,,,,,,,,,,,,,,,,,,,,,,,
JUN,05.01.1933 00:00,-9.4,,,,,,61.7,1.8,656.7,,,,,8.3,,29.9,,,,,,,,,,,,,,,,,,,,,,,
JUN,06.01.1933 00:00,-15.4,,,,,,91,1.9,655.5,,,,,14.2,,51.1,,,,,,,,,,,,,,,,,,,,,,,
JUN,07.01.1933 00:00,-17,,,,,,82,1.4,656.8,,,,,12.3,,44.3,,,,,,,,,,,,,,,,,,,,,,,
JUN,08.01.1933 00:00,-11.8,,,,,,98,2.4,659.1,,,,,14.2,,51.1,,,,,,,,,,,,,,,,,,,,,,,
JUN,09.01.1933 00:00,-9.4,,,,,,99,2.9,658.5,,,,,12.3,,44.3,,,,,,,,,,,,,,,,,,,,,,,
JUN,10.01.1933 00:00,-16.4,,,,,,89.3,1.7,651.5,,,,,16.9,,60.8,,,,,,,,,,,,,,,,,,,,,,,
JUN,11.01.1933 00:00,-14.4,,,,,,70.7,1.4,649.4,,,,,12.3,,44.3,,,,,,,,,,,,,,,,,,,,,,,
JUN,12.01.1933 00:00,-12.5,,,,,,57.7,1.4,645.4,,,,,6.7,,24.1,,,,,,,,,,,,,,,,,,,,,,,
JUN,13.01.1933 00:00,-15,,,,,,46,1,645.5,,,,,6.7,,24.1,,,,,,,,,,,,,,,,,,,,,,,
JUN,14.01.1933 00:00,-16.9,,,,,,81.7,1.3,644.1,,,,,12.3,,44.3,,,,,,,,,,,,,,,,,,,,,,,
