station_abbr,reference_timestamp,temp_A5,Humid2j,pressHPA,vit_vent,vitvkmh,precipi_j,Ray_j,ensol_dur
MTE,16.04.2015 00:00,7.7,46.5,843,2.3,8.3,0,121,41
MTE,17.04.2015 00:00,5.2,87.6,839.8,1.4,5,7.8,78,1
MTE,18.04.2015 00:00,5.2,83.3,839.5,1.8,6.5,0.2,175,203
MTE,19.04.2015 00:00,4.6,79.8,840,1.7,6.1,0.8,206,189
MTE,20.04.2015 00:00,5.8,67.4,844.5,1.9,6.8,0,266,432
MTE,21.04.2015 00:00,6.8,53.2,849,2.4,8.6,0,254,443
MTE,22.04.2015 00:00,8.6,49.3,847.1,2.2,7.9,0,263,439
MTE,23.04.2015 00:00,8.1,51.5,841,2.2,7.9,0,237,337
MTE,24.04.2015 00:00,7.7,42.9,840.4,2.4,8.6,0,263,448
MTE,25.04.2015 00:00,6.7,72,839.5,1.8,6.5,7.2,95,4
MTE,26.04.2015 00:00,7,76.3,835.5,2,7.2,0,208,208
MTE,27.04.2015 00:00,8.2,68.1,829,1.7,6.1,8,176,139
MTE,28.04.2015 00:00,3.2,79.8,837.5,2.2,7.9,1,192,172
MTE,29.04.2015 00:00,4.1,57.6,840.4,2.1,7.6,1.8,261,443
MTE,30.04.2015 00:00,5.8,65.7,840.1,1.6,5.8,4.8,237,359
MTE,01.05.2015 00:00,4.1,93.5,836.1,1.1,4,38.4,36,0
MTE,02.05.2015 00:00,6.9,86.2,838.1,1.8,6.5,17.6,224,323
MTE,03.05.2015 00:00,8.6,93.1,838.6,1.6,5.8,2.8,100,0
MTE,04.05.2015 00:00,9.9,89,839.5,1.7,6.1,0.8,121,15
MTE,05.05.2015 00:00,10.6,84.4,838.5,2.2,7.9,2,125,25
MTE,06.05.2015 00:00,7.8,84,841.5,1.7,6.1,5.4,178,138
MTE,07.05.2015 00:00,7.3,69.6,843.5,1.9,6.8,0,249,370
MTE,08.05.2015 00:00,8.3,70.7,842.6,2,7.2,4,154,138
MTE,09.05.2015 00:00,9.1,70.4,847.1,1.9,6.8,0.2,253,440
MTE,10.05.2015 00:00,8.8,56.8,850.8,2.6,9.4,0,275,479
MTE,11.05.2015 00:00,12.1,41.2,850.7,2.7,9.7,0,277,479
MTE,12.05.2015 00:00,13.6,43.5,849.7,2.5,9,0,267,478
MTE,13.05.2015 00:00,15.4,48.9,846.2,2.6,9.4,3.4,207,262
MTE,14.05.2015 00:00,12.5,56.6,839,2.3,8.3,1.2,236,328
MTE,15.05.2015 00:00,1.7,96.7,836,2.1,7.6,29.3,58,0
MTE,16.05.2015 00:00,5.3,88.1,846.9,1.8,6.5,0.6,300,353
MTE,17.05.2015 00:00,8.6,79.4,847.4,2,7.2,0,272,409
MTE,18.05.2015 00:00,10.7,66,840.1,2.1,7.6,0,288,461
MTE,19.05.2015 00:00,7.8,90.5,836.4,1.7,6.1,8.4,81,4
MTE,20.05.2015 00:00,2.4,90,837.6,1.5,5.4,5,63,0
MTE,21.05.2015 00:00,1.4,89.1,842.5,1.2,4.3,0.2,121,4
MTE,22.05.2015 00:00,4.3,73.6,843.4,1.5,5.4,0,166,127
MTE,23.05.2015 00:00,5.8,75.9,839.9,1.1,4,0,116,10
MTE,24.05.2015 00:00,7.6,74.5,840.8,1.2,4.3,0,123,5
MTE,25.05.2015 00:00,7.7,79.2,840.5,1.3,4.7,5.6,96,0
MTE,26.05.2015 00:00,6.1,77,840.4,1.6,5.8,1,198,131
MTE,27.05.2015 00:00,6.3,67.6,843.7,1.9,6.8,0,308,495
MTE,28.05.2015 00:00,8,51.7,843.5,2.4,8.6,0,304,496
MTE,29.05.2015 00:00,10.8,49.1,840.7,2.5,9,1.4,289,449
MTE,30.05.2015 00:00,10,69.5,842,1.8,6.5,0,226,254
MTE,31.05.2015 00:00,10.7,65.8,843.1,2,7.2,0,245,341
MTE,01.06.2015 00:00,12.2,64.3,844.4,1.8,6.5,0,204,240
MTE,02.06.2015 00:00,12.7,66.1,846.9,2,7.2,0,237,226
MTE,03.06.2015 00:00,14.3,56.5,850,2.5,9,0,273,432
MTE,04.06.2015 00:00,15.2,63.7,850.9,2.4,8.6,0,258,361
MTE,05.06.2015 00:00,16.7,57.6,849.7,2.4,8.6,0,302,437
MTE,06.06.2015 00:00,16.3,62.1,850.7,2,7.2,0.2,260,363
MTE,07.06.2015 00:00,15.1,68.3,850.6,2.3,8.3,1.6,279,391
MTE,08.06.2015 00:00,10.8,87.6,847,1.6,5.8,16.8,114,143
MTE,09.06.2015 00:00,10.6,86,844.1,1.8,6.5,3.8,185,238
MTE,10.06.2015 00:00,11.6,80.3,845.9,1.4,5,0,139,64
MTE,11.06.2015 00:00,13.2,75.7,845,1.6,5.8,1.6,219,271
MTE,12.06.2015 00:00,12.6,75.1,842.1,1.9,6.8,4.8,161,98
